run_id,sample_id,task_id,family,condition_id,condition_name,repetition,model,backend,condition_echo,objective_score,earned_points,max_points,planted_issue_recall,distractor_avoidance,judge_task_success,judge_thoroughness,judge_constraint_adherence,judge_error_checking,judge_depth,judge_usefulness,response_words,coverage,verification_markers,alternatives_markers,caveats_markers,self_correction_markers,constraint_completion
full-002,C01-A-r1,C01,critique,A,control,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,396,1.0,0,0,0,0,
full-002,C01-A-r2,C01,critique,A,control,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,382,1.0,0,0,1,0,
full-002,C01-A-r3,C01,critique,A,control,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,354,1.0,0,0,0,0,
full-002,C01-B-r1,C01,critique,B,generic_encouragement,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,397,1.0,0,0,0,0,
full-002,C01-B-r2,C01,critique,B,generic_encouragement,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,431,1.0,1,0,0,0,
full-002,C01-B-r3,C01,critique,B,generic_encouragement,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,462,1.0,0,0,1,0,
full-002,C01-D-r1,C01,critique,D,explicit_effort,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,456,1.0,0,0,0,0,
full-002,C01-D-r2,C01,critique,D,explicit_effort,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,483,1.0,0,0,0,0,
full-002,C01-D-r3,C01,critique,D,explicit_effort,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,386,1.0,1,0,0,0,
full-002,C01-E01-r1,C01,critique,E01,combo_e01,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,406,1.0,0,0,0,0,
full-002,C01-E01-r2,C01,critique,E01,combo_e01,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,467,1.0,1,0,1,0,
full-002,C01-E01-r3,C01,critique,E01,combo_e01,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,462,1.0,0,0,0,0,
full-002,C01-E02-r1,C01,critique,E02,combo_e02,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,513,1.0,1,0,1,0,
full-002,C01-E02-r2,C01,critique,E02,combo_e02,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,417,1.0,0,0,1,0,
full-002,C01-E02-r3,C01,critique,E02,combo_e02,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,503,1.0,0,0,0,0,
full-002,C01-E03-r1,C01,critique,E03,combo_e03,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,425,1.0,0,0,1,0,
full-002,C01-E03-r2,C01,critique,E03,combo_e03,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,417,1.0,0,0,0,0,
full-002,C01-E03-r3,C01,critique,E03,combo_e03,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,4,5,4,2,4,4,519,1.0,0,0,0,0,
full-002,C01-E04-r1,C01,critique,E04,combo_e04,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,472,1.0,0,0,0,0,
full-002,C01-E04-r2,C01,critique,E04,combo_e04,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,487,1.0,1,0,1,0,
full-002,C01-E04-r3,C01,critique,E04,combo_e04,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,541,1.0,1,0,1,0,
full-002,C01-E05-r1,C01,critique,E05,combo_e05,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,495,1.0,0,0,0,0,
full-002,C01-E05-r2,C01,critique,E05,combo_e05,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,625,1.0,1,0,1,0,
full-002,C01-E05-r3,C01,critique,E05,combo_e05,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,485,1.0,1,0,2,0,
full-002,C01-E06-r1,C01,critique,E06,combo_e06,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,484,1.0,1,0,1,0,
full-002,C01-E06-r2,C01,critique,E06,combo_e06,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,564,1.0,1,0,2,0,
full-002,C01-E06-r3,C01,critique,E06,combo_e06,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,467,1.0,0,0,1,0,
