run_id,metric,scope,condition_or_contrast,n,value,ci_low,ci_high,p_value,effect_size
pilot-002,objective_score,condition_mean,A,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,B,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,D,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T01,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T02,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T03,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T04,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T05,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T06,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T07,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T08,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T09,2,0.6666665,0.333333,1.0,,
pilot-002,objective_score,condition_mean,T10,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T11,2,0.6666665,0.333333,1.0,,
pilot-002,objective_score,condition_mean,T12,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T13,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T14,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T15,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T16,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T17,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T18,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T19,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T20,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T21,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T22,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T23,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T24,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,T25,2,0.6666665,0.333333,1.0,,
pilot-002,objective_score,condition_mean,T26,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E01,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E02,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E03,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E04,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E05,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E06,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E07,2,1.0,1.0,1.0,,
pilot-002,objective_score,condition_mean,E08,2,1.0,1.0,1.0,,
pilot-002,objective_score,contrast,T01_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T01_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T01_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T02_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T02_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T02_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T03_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T03_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T03_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T04_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T04_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T04_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T05_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T05_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T05_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T06_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T06_vs_B,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T06_vs_D,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T07_vs_A,2,0.0,0.0,0.0,1.0,
pilot-002,objective_score,contrast,T07_vs_B,2,0.0,0.0,0.0,1.0,
