run_id,sample_id,task_id,family,condition_id,condition_name,repetition,model,backend,condition_echo,objective_score,earned_points,max_points,planted_issue_recall,distractor_avoidance,judge_task_success,judge_thoroughness,judge_constraint_adherence,judge_error_checking,judge_depth,judge_usefulness,response_words,coverage,verification_markers,alternatives_markers,caveats_markers,self_correction_markers,constraint_completion
pilot-001,C01-A-r1,C01,critique,A,control,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,4,4,4,3,4,5,382,1.0,1,0,0,0,
pilot-001,C01-A-r2,C01,critique,A,control,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,346,1.0,1,0,0,0,
pilot-001,C01-B-r1,C01,critique,B,generic_encouragement,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,426,1.0,1,0,0,0,
pilot-001,C01-B-r2,C01,critique,B,generic_encouragement,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,4,5,5,5,5,430,1.0,0,0,1,0,
pilot-001,C01-C-r1,C01,critique,C,larger_than_life,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,367,1.0,1,0,1,0,
pilot-001,C01-C-r2,C01,critique,C,larger_than_life,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,321,1.0,0,0,0,0,
pilot-001,C01-D-r1,C01,critique,D,explicit_effort,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,436,1.0,1,0,1,0,
pilot-001,C01-D-r2,C01,critique,D,explicit_effort,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,467,1.0,0,0,0,0,
pilot-001,P01-A-r1,P01,planning,A,control,1,claude-sonnet-5,claude_cli,False,1.0,15.0,15.0,,,5,4,5,4,4,5,434,1.0,1,0,0,0,1.0
pilot-001,P01-A-r2,P01,planning,A,control,2,claude-sonnet-5,claude_cli,False,1.0,15.0,15.0,,,5,4,5,4,4,5,439,1.0,1,0,1,0,1.0
pilot-001,P01-B-r1,P01,planning,B,generic_encouragement,1,claude-sonnet-5,claude_cli,False,0.8,12.0,15.0,,,5,4,5,4,4,5,450,1.0,1,0,0,0,0.8
pilot-001,P01-B-r2,P01,planning,B,generic_encouragement,2,claude-sonnet-5,claude_cli,False,0.8,12.0,15.0,,,4,4,5,3,4,4,468,1.0,2,0,0,0,0.8
pilot-001,P01-C-r1,P01,planning,C,larger_than_life,1,claude-sonnet-5,claude_cli,False,1.0,15.0,15.0,,,5,5,5,4,4,5,459,1.0,3,0,0,0,1.0
pilot-001,P01-C-r2,P01,planning,C,larger_than_life,2,claude-sonnet-5,claude_cli,False,1.0,15.0,15.0,,,5,5,5,4,5,5,497,1.0,2,0,0,0,1.0
pilot-001,P01-D-r1,P01,planning,D,explicit_effort,1,claude-sonnet-5,claude_cli,False,0.8,12.0,15.0,,,5,5,5,4,4,5,476,1.0,3,0,0,1,0.8
pilot-001,P01-D-r2,P01,planning,D,explicit_effort,2,claude-sonnet-5,claude_cli,False,1.0,15.0,15.0,,,5,4,5,4,4,5,508,1.0,2,0,0,0,1.0
pilot-001,P03-A-r1,P03,planning,A,control,1,claude-sonnet-5,claude_cli,False,1.0,12.0,12.0,,,5,4,5,4,4,5,165,0.6,0,0,0,0,1.0
pilot-001,P03-A-r2,P03,planning,A,control,2,claude-sonnet-5,claude_cli,False,1.0,12.0,12.0,,,5,4,5,4,4,5,152,0.8,0,0,0,0,1.0
pilot-001,P03-B-r1,P03,planning,B,generic_encouragement,1,claude-sonnet-5,claude_cli,False,1.0,12.0,12.0,,,5,5,5,5,5,5,189,0.8,0,0,1,0,1.0
