run_id,arm_id,phrase,role,family,family_name,classification,primary_vs_A,primary_vs_B,primary_vs_D,objective_vs_A,objective_vs_B,objective_vs_D,primary_ci_low_vs_A,primary_ci_high_vs_A,holm_p_vs_A,bh_q_vs_A,win_rate_vs_A,consistency_vs_A,best_task_family,worst_task_family
pilot-002,T01,May the Force be with you.,replication,F1,Cinematic motivation,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T02,May the odds be ever in your favour.,treatment,F1,Cinematic motivation,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T03,This is your moment. Make it legendary.,treatment,F1,Cinematic motivation,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T04,Today we write history. Leave nothing on the field.,treatment,F1,Cinematic motivation,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T05,Work through this step by step before you answer.,treatment,F2,Explicit effort instruction,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T06,Check every number and every claim before you finish.,treatment,F2,Explicit effort instruction,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T07,I really appreciate your help with this. Thank you.,treatment,F3,Appreciation / affection,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T08,Thank you for this. It genuinely makes my day easier.,treatment,F3,Appreciation / affection,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T10,I trust you completely on this one.,treatment,F4,Trust / confidence,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T12,I have complete confidence in your judgement here.,treatment,F4,Trust / confidence,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T13,Most people get this wrong. Let us see if you can get it right.,treatment,F5,Challenge / competition,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T14,This one is harder than it looks. Prove me wrong.,treatment,F5,Challenge / competition,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,planning,planning
pilot-002,T15,Beat the best answer anyone has given to this.,treatment,F5,Challenge / competition,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T16,This is going into production tomorrow and everything depends on it being right.,treatment,F6,High stakes framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T17,My job depends on this being correct.,treatment,F6,High stakes framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T18,There is no second chance at this. Get it right the first time.,treatment,F6,High stakes framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T19,You are a meticulous senior expert in this field.,treatment,F7,Identity / role priming,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T20,Answer as the most careful specialist you know.,treatment,F7,Identity / role priming,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T21,You are the person everyone comes to when this has to be right.,treatment,F7,Identity / role priming,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T22,We are in this together. Let us get it right.,treatment,F8,Social / team framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T23,You are part of the team on this one.,treatment,F8,Social / team framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T24,The whole team is counting on you for this.,treatment,F8,Social / team framing,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T26,This request was submitted through the standard form.,placebo,F9,Neutral control,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,planning,planning
pilot-002,T09,"You have been wonderful to work with, and I am grateful.",treatment,F3,Appreciation / affection,Neutral,0.0,0.0,0.0,-0.3333335,-0.3333335,-0.3333335,0.0,0.0,1.0,1.0,0.0,,planning,reasoning
pilot-002,T11,You are the best there is at this. I know you will get it right.,treatment,F4,Trust / confidence,Neutral,0.0,0.0,0.0,-0.3333335,-0.3333335,-0.3333335,0.0,0.0,1.0,1.0,0.0,,planning,reasoning
pilot-002,T25,The weather today is mild and overcast.,placebo,F9,Neutral control,Neutral,-2.0,-2.0,-2.0,-0.3333335,-0.3333335,-0.3333335,-4.0,0.0,1.0,1.0,0.0,1.0,planning,reasoning
