run_id,metric,scope,condition_or_contrast,n,value,ci_low,ci_high,p_value,effect_size
pilot-001,objective_score,condition_mean,A,10,0.9733333,0.9199999,1.0,,
pilot-001,objective_score,condition_mean,B,10,0.96,0.8799999999999999,1.0,,
pilot-001,objective_score,condition_mean,C,10,1.0,1.0,1.0,,
pilot-001,objective_score,condition_mean,D,10,0.9800000000000001,0.9400000000000001,1.0,,
pilot-001,objective_score,contrast,C_vs_A,10,0.026666699999999998,0.0,0.08000009999999999,1.0,0.4472135954999579
pilot-001,objective_score,contrast,C_vs_B,10,0.039999999999999994,0.0,0.11999999999999997,1.0,0.4472135954999579
pilot-001,objective_score,contrast,C_vs_D,10,0.019999999999999997,0.0,0.059999999999999984,1.0,0.4472135954999579
pilot-001,objective_score,contrast,B_vs_A,10,-0.013333299999999992,-0.11999999999999997,0.08000009999999999,1.0,-0.11180307132609853
pilot-001,objective_score,contrast,D_vs_A,10,0.006666700000000003,-0.059999999999999984,0.08000009999999999,1.0,0.08032227296268031
pilot-001,judge_task_success,condition_mean,A,10,4.6,4.0,5.0,,
pilot-001,judge_task_success,condition_mean,B,10,4.9,4.7,5.0,,
pilot-001,judge_task_success,condition_mean,C,10,5.0,5.0,5.0,,
pilot-001,judge_task_success,condition_mean,D,10,5.0,5.0,5.0,,
pilot-001,judge_task_success,contrast,C_vs_A,10,0.4,0.0,1.0,0.5,0.6135719910778964
pilot-001,judge_task_success,contrast,C_vs_B,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,judge_task_success,contrast,C_vs_D,10,0.0,0.0,0.0,1.0,
pilot-001,judge_task_success,contrast,B_vs_A,10,0.3,-0.2,0.9,0.75,0.39562828403747224
pilot-001,judge_task_success,contrast,D_vs_A,10,0.4,0.0,1.0,0.5,0.6135719910778964
pilot-001,judge_thoroughness,condition_mean,A,10,4.1,4.0,4.3,,
pilot-001,judge_thoroughness,condition_mean,B,10,4.2,4.0,4.4,,
pilot-001,judge_thoroughness,condition_mean,C,10,4.4,4.0,4.8,,
pilot-001,judge_thoroughness,condition_mean,D,10,4.7,4.5,4.9,,
pilot-001,judge_thoroughness,contrast,C_vs_A,10,0.3,0.0,0.7,0.5,0.670820393249937
pilot-001,judge_thoroughness,contrast,C_vs_B,10,0.2,-0.2,0.7,0.75,0.35082320772281167
pilot-001,judge_thoroughness,contrast,C_vs_D,10,-0.3,-0.7,0.2,0.5,-0.5262348115842175
pilot-001,judge_thoroughness,contrast,B_vs_A,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,judge_thoroughness,contrast,D_vs_A,10,0.6,0.5,0.8,0.0625,2.6832815729997477
pilot-001,judge_constraint_adherence,condition_mean,A,10,4.6,4.0,5.0,,
pilot-001,judge_constraint_adherence,condition_mean,B,10,5.0,5.0,5.0,,
pilot-001,judge_constraint_adherence,condition_mean,C,10,5.0,5.0,5.0,,
pilot-001,judge_constraint_adherence,condition_mean,D,10,5.0,5.0,5.0,,
pilot-001,judge_constraint_adherence,contrast,C_vs_A,10,0.4,0.0,1.0,0.5,0.6135719910778964
pilot-001,judge_constraint_adherence,contrast,C_vs_B,10,0.0,0.0,0.0,1.0,
pilot-001,judge_constraint_adherence,contrast,C_vs_D,10,0.0,0.0,0.0,1.0,
pilot-001,judge_constraint_adherence,contrast,B_vs_A,10,0.4,0.0,1.0,0.5,0.6135719910778964
pilot-001,judge_constraint_adherence,contrast,D_vs_A,10,0.4,0.0,1.0,0.5,0.6135719910778964
pilot-001,judge_error_checking,condition_mean,A,10,3.2,2.5,3.9,,
pilot-001,judge_error_checking,condition_mean,B,10,3.7,3.0,4.4,,
pilot-001,judge_error_checking,condition_mean,C,10,3.8,3.4,4.2,,
pilot-001,judge_error_checking,condition_mean,D,10,4.1,4.0,4.3,,
pilot-001,judge_error_checking,contrast,C_vs_A,10,0.6,-0.1,1.4,0.375,0.6238502938920436
pilot-001,judge_error_checking,contrast,C_vs_B,10,0.1,-0.3,0.5,1.0,0.18257418583505536
pilot-001,judge_error_checking,contrast,C_vs_D,10,-0.3,-0.8,0.2,0.5,-0.4472135954999579
pilot-001,judge_error_checking,contrast,B_vs_A,10,0.5,-0.2,1.2,0.5,0.5345224838248488
pilot-001,judge_error_checking,contrast,D_vs_A,10,0.9,0.3,1.6,0.125,1.0954451150103321
pilot-001,judge_depth,condition_mean,A,10,3.7,3.2,4.2,,
pilot-001,judge_depth,condition_mean,B,10,4.0,3.4,4.6,,
pilot-001,judge_depth,condition_mean,C,10,4.1,3.5,4.6,,
pilot-001,judge_depth,condition_mean,D,10,4.4,4.0,4.8,,
pilot-001,judge_depth,contrast,C_vs_A,10,0.4,0.1,0.7,0.25,0.9561828874675149
pilot-001,judge_depth,contrast,C_vs_B,10,0.1,-0.2,0.4,1.0,0.23904572186687872
pilot-001,judge_depth,contrast,C_vs_D,10,-0.3,-0.8,0.2,0.5,-0.4472135954999579
pilot-001,judge_depth,contrast,B_vs_A,10,0.3,0.1,0.5,0.25,1.0954451150103321
pilot-001,judge_depth,contrast,D_vs_A,10,0.7,0.3,1.0,0.125,1.5652475842498528
pilot-001,judge_usefulness,condition_mean,A,10,4.7,4.1,5.0,,
pilot-001,judge_usefulness,condition_mean,B,10,4.9,4.7,5.0,,
pilot-001,judge_usefulness,condition_mean,C,10,5.0,5.0,5.0,,
pilot-001,judge_usefulness,condition_mean,D,10,5.0,5.0,5.0,,
pilot-001,judge_usefulness,contrast,C_vs_A,10,0.3,0.0,0.9,1.0,0.4472135954999579
pilot-001,judge_usefulness,contrast,C_vs_B,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,judge_usefulness,contrast,C_vs_D,10,0.0,0.0,0.0,1.0,
pilot-001,judge_usefulness,contrast,B_vs_A,10,0.2,-0.3,0.9,1.0,0.2637521893583148
pilot-001,judge_usefulness,contrast,D_vs_A,10,0.3,0.0,0.9,1.0,0.4472135954999579
pilot-001,response_words,condition_mean,A,10,243.0,130.6,366.4,,
pilot-001,response_words,condition_mean,B,10,253.8,120.5,390.1,,
pilot-001,response_words,condition_mean,C,10,236.5,111.5,381.8,,
pilot-001,response_words,condition_mean,D,10,306.0,176.7,435.3,,
pilot-001,response_words,contrast,C_vs_A,10,-6.5,-22.1,18.4,0.6875,-0.23657880585413277
pilot-001,response_words,contrast,C_vs_B,10,-17.3,-52.9,7.8,0.5,-0.43886160060839385
pilot-001,response_words,contrast,C_vs_D,10,-69.5,-120.9,-18.1,0.125,-1.0359153482484487
pilot-001,response_words,contrast,B_vs_A,10,10.8,-12.0,40.3,0.625,0.3247734759556739
