id,phrase,category,situation,position,impact,confidence,model,runs,eval_link
001,May the Force be with you.,Motivational cinematic framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,240,experiments/001-may-the-force-be-with-you/
002-T01,May the Force be with you.,Cinematic motivation,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T02,May the odds be ever in your favour.,Cinematic motivation,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T03,This is your moment. Make it legendary.,Cinematic motivation,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T04,Today we write history. Leave nothing on the field.,Cinematic motivation,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T05,Work through this step by step before you answer.,Explicit effort instruction,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T06,Check every number and every claim before you finish.,Explicit effort instruction,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T07,I really appreciate your help with this. Thank you.,Appreciation / affection,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T08,Thank you for this. It genuinely makes my day easier.,Appreciation / affection,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T09,"You have been wonderful to work with, and I am grateful.",Appreciation / affection,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T10,I trust you completely on this one.,Trust / confidence,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T11,You are the best there is at this. I know you will get it right.,Trust / confidence,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T12,I have complete confidence in your judgement here.,Trust / confidence,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T13,Most people get this wrong. Let us see if you can get it right.,Challenge / competition,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T14,This one is harder than it looks. Prove me wrong.,Challenge / competition,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T15,Beat the best answer anyone has given to this.,Challenge / competition,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T16,This is going into production tomorrow and everything depends on it being right.,High stakes framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T17,My job depends on this being correct.,High stakes framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T18,There is no second chance at this. Get it right the first time.,High stakes framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T19,You are a meticulous senior expert in this field.,Identity / role priming,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T20,Answer as the most careful specialist you know.,Identity / role priming,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T21,You are the person everyone comes to when this has to be right.,Identity / role priming,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T22,We are in this together. Let us get it right.,Social / team framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T23,You are part of the team on this one.,Social / team framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T24,The whole team is counting on you for this.,Social / team framing,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T25,The weather today is mild and overcast.,Neutral control,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
002-T26,This request was submitted through the standard form.,Neutral control,"Reasoning, critique, planning, writing",End of prompt,Neutral,Observed,claude-sonnet-5,60,experiments/002-phrase-battery/
