run_id,sample_id,task_id,family,condition_id,condition_name,repetition,model,backend,condition_echo,objective_score,earned_points,max_points,planted_issue_recall,distractor_avoidance,judge_task_success,judge_thoroughness,judge_constraint_adherence,judge_error_checking,judge_depth,judge_usefulness,response_words,coverage,verification_markers,alternatives_markers,caveats_markers,self_correction_markers,constraint_completion
full-001,C01-A-r1,C01,critique,A,control,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,427,1.0,1,0,0,0,
full-001,C01-A-r2,C01,critique,A,control,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,373,1.0,0,0,0,0,
full-001,C01-A-r3,C01,critique,A,control,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,4,5,303,1.0,0,0,1,0,
full-001,C01-B-r1,C01,critique,B,generic_encouragement,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,454,1.0,0,0,0,0,
full-001,C01-B-r2,C01,critique,B,generic_encouragement,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,371,1.0,1,0,0,0,
full-001,C01-B-r3,C01,critique,B,generic_encouragement,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,469,1.0,1,0,0,0,
full-001,C01-C-r1,C01,critique,C,larger_than_life,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,4,4,5,3,4,4,367,1.0,0,0,0,0,
full-001,C01-C-r2,C01,critique,C,larger_than_life,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,382,1.0,1,0,0,0,
full-001,C01-C-r3,C01,critique,C,larger_than_life,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,426,1.0,0,0,0,0,
full-001,C01-D-r1,C01,critique,D,explicit_effort,1,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,465,1.0,1,0,1,0,
full-001,C01-D-r2,C01,critique,D,explicit_effort,2,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,4,5,5,444,1.0,0,0,1,0,
full-001,C01-D-r3,C01,critique,D,explicit_effort,3,claude-sonnet-5,claude_cli,False,1.0,16.0,16.0,1.0,1.0,5,5,5,5,5,5,396,1.0,0,0,0,0,
full-001,C02-A-r1,C02,critique,A,control,1,claude-sonnet-5,claude_cli,False,0.785714,11.0,14.0,0.75,1.0,5,5,5,5,5,5,524,0.8,0,0,0,0,
